id,season,season_type,game_center_link
2010020178,20102011,2,/gamecenter/tbl-vs-lak/2010/11/04/2010020178
2010020179,20102011,2,/gamecenter/nyr-vs-njd/2010/11/05/2010020179
2010020180,20102011,2,/gamecenter/bos-vs-wsh/2010/11/05/2010020180
2010020181,20102011,2,/gamecenter/mtl-vs-buf/2010/11/05/2010020181
2010020182,20102011,2,/gamecenter/car-vs-fla/2010/11/05/2010020182
2010020183,20102011,2,/gamecenter/cgy-vs-min/2010/11/05/2010020183
2010020184,20102011,2,/gamecenter/phx-vs-dal/2010/11/05/2010020184
2010020185,20102011,2,/gamecenter/det-vs-edm/2010/11/05/2010020185
2010020186,20102011,2,/gamecenter/pit-vs-ana/2010/11/05/2010020186
2010020188,20102011,2,/gamecenter/stl-vs-bos/2010/11/06/2010020188
2010020189,20102011,2,/gamecenter/buf-vs-tor/2010/11/06/2010020189
2010020190,20102011,2,/gamecenter/ott-vs-mtl/2010/11/06/2010020190
2010020191,20102011,2,/gamecenter/phi-vs-nyi/2010/11/06/2010020191
2010020192,20102011,2,/gamecenter/fla-vs-car/2010/11/06/2010020192
2010020193,20102011,2,/gamecenter/chi-vs-atl/2010/11/06/2010020193
2010020194,20102011,2,/gamecenter/min-vs-cbj/2010/11/06/2010020194
2010020195,20102011,2,/gamecenter/dal-vs-col/2010/11/06/2010020195
2010020196,20102011,2,/gamecenter/pit-vs-phx/2010/11/06/2010020196
2010020187,20102011,2,/gamecenter/nsh-vs-lak/2010/11/06/2010020187
2010020197,20102011,2,/gamecenter/det-vs-van/2010/11/06/2010020197
2010020198,20102011,2,/gamecenter/tbl-vs-sjs/2010/11/06/2010020198
2010020199,20102011,2,/gamecenter/phi-vs-wsh/2010/11/07/2010020199
2010020200,20102011,2,/gamecenter/stl-vs-nyr/2010/11/07/2010020200
2010020201,20102011,2,/gamecenter/edm-vs-chi/2010/11/07/2010020201
2010020202,20102011,2,/gamecenter/nsh-vs-ana/2010/11/07/2010020202
2010020203,20102011,2,/gamecenter/phx-vs-det/2010/11/08/2010020203
2010020205,20102011,2,/gamecenter/edm-vs-car/2010/11/09/2010020205
2010020204,20102011,2,/gamecenter/wsh-vs-nyr/2010/11/09/2010020204
2010020206,20102011,2,/gamecenter/van-vs-mtl/2010/11/09/2010020206
2010020207,20102011,2,/gamecenter/atl-vs-ott/2010/11/09/2010020207
2010020208,20102011,2,/gamecenter/tor-vs-tbl/2010/11/09/2010020208
2010020209,20102011,2,/gamecenter/cgy-vs-col/2010/11/09/2010020209
2010020210,20102011,2,/gamecenter/ana-vs-sjs/2010/11/09/2010020210
2010020211,20102011,2,/gamecenter/buf-vs-njd/2010/11/10/2010020211
2010020212,20102011,2,/gamecenter/bos-vs-pit/2010/11/10/2010020212
2010020213,20102011,2,/gamecenter/stl-vs-cbj/2010/11/10/2010020213
2010020214,20102011,2,/gamecenter/tor-vs-fla/2010/11/10/2010020214
2010020215,20102011,2,/gamecenter/phx-vs-chi/2010/11/10/2010020215
2010020216,20102011,2,/gamecenter/nyi-vs-ana/2010/11/10/2010020216
2010020217,20102011,2,/gamecenter/mtl-vs-bos/2010/11/11/2010020217
2010020218,20102011,2,/gamecenter/buf-vs-nyr/2010/11/11/2010020218
2010020219,20102011,2,/gamecenter/tbl-vs-wsh/2010/11/11/2010020219
2010020220,20102011,2,/gamecenter/phi-vs-car/2010/11/11/2010020220
2010020221,20102011,2,/gamecenter/min-vs-atl/2010/11/11/2010020221
2010020222,20102011,2,/gamecenter/edm-vs-det/2010/11/11/2010020222
2010020223,20102011,2,/gamecenter/van-vs-ott/2010/11/11/2010020223
2010020224,20102011,2,/gamecenter/nsh-vs-stl/2010/11/11/2010020224
2010020225,20102011,2,/gamecenter/dal-vs-lak/2010/11/11/2010020225
2010020226,20102011,2,/gamecenter/nyi-vs-sjs/2010/11/11/2010020226
2010020227,20102011,2,/gamecenter/edm-vs-njd/2010/11/12/2010020227
2010020228,20102011,2,/gamecenter/tbl-vs-pit/2010/11/12/2010020228
2010020229,20102011,2,/gamecenter/col-vs-cbj/2010/11/12/2010020229
2010020230,20102011,2,/gamecenter/min-vs-fla/2010/11/12/2010020230
2010020231,20102011,2,/gamecenter/cgy-vs-phx/2010/11/12/2010020231
2010020232,20102011,2,/gamecenter/dal-vs-ana/2010/11/12/2010020232
2010020233,20102011,2,/gamecenter/ott-vs-bos/2010/11/13/2010020233
2010020234,20102011,2,/gamecenter/wsh-vs-buf/2010/11/13/2010020234
2010020235,20102011,2,/gamecenter/van-vs-tor/2010/11/13/2010020235
2010020236,20102011,2,/gamecenter/car-vs-mtl/2010/11/13/2010020236
2010020237,20102011,2,/gamecenter/fla-vs-phi/2010/11/13/2010020237
2010020238,20102011,2,/gamecenter/pit-vs-atl/2010/11/13/2010020238
2010020239,20102011,2,/gamecenter/col-vs-det/2010/11/13/2010020239
2010020240,20102011,2,/gamecenter/chi-vs-nsh/2010/11/13/2010020240
2010020241,20102011,2,/gamecenter/stl-vs-phx/2010/11/13/2010020241
2010020242,20102011,2,/gamecenter/cgy-vs-sjs/2010/11/13/2010020242
2010020243,20102011,2,/gamecenter/nyi-vs-lak/2010/11/13/2010020243
2010020244,20102011,2,/gamecenter/edm-vs-nyr/2010/11/14/2010020244
2010020245,20102011,2,/gamecenter/atl-vs-wsh/2010/11/14/2010020245
2010020246,20102011,2,/gamecenter/min-vs-tbl/2010/11/14/2010020246
2010020247,20102011,2,/gamecenter/ana-vs-chi/2010/11/14/2010020247
2010020248,20102011,2,/gamecenter/njd-vs-bos/2010/11/15/2010020248
2010020249,20102011,2,/gamecenter/van-vs-buf/2010/11/15/2010020249
2010020250,20102011,2,/gamecenter/ott-vs-phi/2010/11/15/2010020250
2010020251,20102011,2,/gamecenter/nyr-vs-pit/2010/11/15/2010020251
